Country,Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated
Malawi,2006/03,Heavy rains,1,,,,,361,361,,,
Malawi,2006/03,Rain Storm,1,,,,,44,44,,,
Malawi,2006/04,Floods,5,,,,,400,400,,,
Malawi,2006/10,HAILSTORM,1,,,,,70,70,,,
Malawi,2006/11,Floods,6,,,,,379,379,,,
Malawi,2006/11,HAILSTORM,1,,,,,70,70,,,
Malawi,2006/11,Heavy rains,2,,,,,275,275,,,
Malawi,2006/11,STORM,1,1,,,,117,117,,,
Malawi,2006/11,Storm and heavy rains,2,2,,,,111,111,,,
Malawi,2006/12,HAILSTORM,1,,,,,106,106,,,
Malawi,2006/12,Heavy rains,3,,,,,155,155,,,
Malawi,2006/12,"Heavy rains, storm and floods",3,,,,,107,107,,,
Malawi,2007/01,Floods,3,,,,,445,445,,,
Malawi,2007/01,Heavy rains,3,,,,,187,187,,,
Malawi,2007/01,Heavy rains and storm,1,,,,,86,86,,,
Malawi,2007/01,Heavy winds,1,,,,,50,50,,,
Malawi,2007/01,Storm wind,1,,,,,69,69,,,
Malawi,2007/02,Floods,11,,,,,1057,1057,,,
Malawi,2007/02,Storm and heavy rains,1,,,,,111,111,,,
Malawi,2007/03,Flooding of Bua river,1,,,,,470,470,,,
Malawi,2007/03,HAILSTORM,1,2,3,,,10,10,,,
Malawi,2007/03,Heavy rains,2,,,,,108,108,,,
Malawi,2007/04,Heavy winds and rain,1,,4,,,291,291,,,
Malawi,2007/10,Cyclone  and floods,1,,,,,17,17,,,
Malawi,2007/10,Heavy rains and hailstorm,1,,,,,200,200,,,
Malawi,2007/11,HAILSTORM,3,,,,,40,40,,,
Malawi,2007/11,Hailstorm and heavy rains,3,,,,,33,33,,,
Malawi,2007/11,Heavy rains,8,,,,,1033,1033,,,
Malawi,2007/11,Heavy rains and strong winds,1,,,,,321,321,,,
Malawi,2007/11,Heavy winds,1,1,,,,4,4,,,
Malawi,2007/12,DROUGHT,1,,,,,3400,3400,,,
Malawi,2007/12,Food Insecurity,1,,,,,,,,,
Malawi,2007/12,HAILSTORM,3,,,,,183,183,,,
Malawi,2007/12,Hailstorm and cyclone,1,,,,,4,4,,,
Malawi,2007/12,Heavy rains,1,,,,,45,45,,,
Malawi,2007/12,Heavy winds and rains,1,,,,,19,19,,,
Malawi,2008/01,Floods,16,,,,,9561,9561,,,
Malawi,2008/01,Hailstorm and heavy rains,1,,,,,960,960,,,
Malawi,2008/01,Heavy rains,3,,,,,56,56,,,
Malawi,2008/01,Heavy Storm,1,,,,,116,116,,,
Malawi,2008/01,STORM,1,,,,,17,17,,,
Malawi,2008/02,Floods,8,,,,,1260,1260,,,
Malawi,2008/02,HAILSTORM,3,,,,,75,75,,,
Malawi,2008/02,Heavy rains and strong winds,1,,,,,1000,1000,,,
Malawi,2008/02,STORM,1,,,,,16,16,,,
Malawi,2008/03,Floods,1,,,,,40,40,,,
Malawi,2008/03,HAILSTORM,1,,,,,10,10,,,
Malawi,2008/04,Floods,7,,,,,1073,1073,,,
Malawi,2008/04,Heavy winds,1,,,,,9,9,,,
Malawi,2008/05,DROUGHT,2,,,,,2552,2552,,,
Malawi,2009/11,Cyclone and Rainstorm,1,,,,,975,975,,,
Malawi,2009/11,FIRE,1,,,,,20,20,,,
Malawi,2009/11,Hailstorm & Cyclone winds,2,,,,,38,38,,,
Malawi,2009/11,Hailstorms,7,,,,,291,291,,,
Malawi,2009/11,Heavy Hailstorms and Rains,1,,,,,61,61,,,
Malawi,2009/11,Strong winds,1,,,,,175,175,,,
Malawi,2009/12,CYCLONE,2,,,,,,,,,
Malawi,2009/12,Cyclone wind,1,,,,,204,204,,,
Malawi,2009/12,EARTHQUAKE,3,,,,,48710,48710,,,
Malawi,2009/12,HAILSTORM,1,,,,,89,89,,,
Malawi,2009/12,Heavy storms,5,,,,,135,135,,,
Malawi,2009/12,Rainstorms,3,,,,,19,19,,,
Malawi,2009/12,Strong winds,1,,,,,83,83,,,
Malawi,2010/01,Hailstorms,1,,,,,20,20,,,
Malawi,2010/01,Rainstorms,1,,,,,,,,,
Malawi,2010/02,EARTHQUAKE,3,,,,,940,940,,,
Malawi,2010/02,Floods,2,,,,,118,118,,,
Malawi,2010/02,Hailstorms,2,,,,,,,,,
Malawi,2010/02,Strong winds,1,,,,,27,27,,,
Malawi,2010/03,Floods,3,,,,,952,952,,,
Malawi,2010/04,CYCLONE,1,,,,,28,28,,,
Malawi,2010/08,FIRE,1,,,,,5,5,,,
Malawi,2010/11,Floods,1,,,,,100,100,,,
Malawi,2010/11,HAILSTORM,15,,,,,1064,1064,,,
Malawi,2010/11,Heavy rains,2,,,,,141,141,,,
Malawi,2010/11,Rainstorm,5,,,,,289,289,,,
Malawi,2010/11,Storms,1,,,,,61,61,,,
Malawi,2010/12,HAILSTORM,2,,,,,165,165,,,
Malawi,2010/12,Rainstorm,5,,,,,189,189,,,
Malawi,2010/12,Storms,1,,,,,22,22,,,
Malawi,2010/12,Strong winds,1,,,,,27,27,,,
Malawi,2010/12,,1,,,,,270,270,,,
Malawi,2011/01,Floods,2,,,,,80,80,,,
Malawi,2011/01,Rainstorm,2,,,,,192,192,,,
Malawi,2011/02,Floods,1,,,,,36,36,,,
Malawi,2011/02,HAILSTORM,2,,,,,210,210,,,
Malawi,2011/02,Stormy Rains,1,,,,,115,115,,,
Malawi,2011/03,Floods,6,,,,,1255,1255,,,
Malawi,2011/03,Rainstorm,1,,,,,46,46,,,
Malawi,2011/04,Floods,3,,,,,719,719,,,
Malawi,2011/07,Floods,1,,,,,16,16,,,
Malawi,2011/07,Stormy Rains,1,,,,,52,52,,,
Malawi,2011/08,Floods,1,,,,,15,15,,,
Malawi,2011/09,Floods,2,,,,,68,68,,,
Malawi,2011/10,Floods,1,,,,,68,68,,,
Malawi,2011/10,Stormy Rains,2,,,,,35,35,,,
Malawi,2011/11,Floods,1,,,,,40,40,,,
Malawi,2011/11,Stormy Rains,3,,,,,109,109,,,
Malawi,2011/12,Stormy Rains,8,,,,,2518,2518,,,
Malawi,2011/12,Strong winds,2,,,,,59,59,,,
Malawi,2012/01,Floods,4,,,,,549,549,,,
Malawi,2012/01,Stormy Rains,3,,,,,129,129,,,
Malawi,2012/01,Strong winds,1,,,,,546,546,,,
Malawi,2012/02,Stormy Rains,5,,,,,463,463,,,
Malawi,2012/02,Strong winds,1,,,,,131,131,,,
Malawi,2012/07,Stormy Rains,1,,,,,29,29,,,
Malawi,2012/07,Strong winds,1,,,,,23,23,,,
Malawi,2012/08,Strong winds,1,,,,,156,156,,,
Malawi,2012/09,Floods,1,,,,,,,,,
Malawi,2012/10,Civil strife and Police arson,1,,,,,28,28,,,
Malawi,2012/11,Floods,2,,,,,430,430,,,
Malawi,2012/11,Stormy,2,,,,,128,128,,,
Malawi,2012/11,Strong winds,1,,,,,1688,1688,,,
Malawi,2012/12,Floods,1,,,,,5,5,,,
Malawi,2013/03,Floods,4,,,,,455,455,,,
Malawi,2013/09,Floods,1,,,,,330,330,,,
Malawi,2013/11,Floods,3,,,,,119,119,,,
Malawi,2013/11,Stormy Rains,2,,,,,330,330,,,
Malawi,2013/11,Strong winds,1,,,,,21,21,,,
Malawi,2013/12,Floods,4,,,,,1096,1096,,,
Malawi,2013/12,Food Insecurity,1,,,,,2500,2500,,,
Malawi,2013/12,Lightning,1,,,,,8,8,,,
Malawi,2013/12,Stormy Rains,25,,,,,5551,5551,,,
Malawi,2014/01,Flash Floods,3,,,,,366,366,,,
Malawi,2014/01,Floods,1,,,,,1525,1525,,,
Malawi,2014/01,Heavy rains,5,,,,,124,124,,,
Malawi,2014/01,Stormy Rains,23,,,,,3252,3252,,,
Malawi,2014/02,Floods,6,,,,,2328,2328,,,
Malawi,2014/02,Food Insecurity,1,,,,,1426,1426,,,
Malawi,2014/02,Heavy rains,1,,,,,21,21,,,
Malawi,2014/02,Stormy Rains,5,,,,,178,178,,,
Malawi,2014/02,Strong winds,2,,,,,29,29,,,
Malawi,2014/03,Floods,2,,,,,45,45,,,
Malawi,2014/03,Stormy Rains,5,,,,,559,559,,,
Malawi,2014/04,Dry Spells,1,,,,,1500,1500,,,
Malawi,2014/04,Floods,3,,,,,1593,1593,,,
Malawi,2014/05,Floods,1,,,,,945,945,,,
Malawi,2015/09,Bush fire,1,,,,,52,52,,,
Malawi,2015/10,Strong winds,6,,,,,913,913,,,
Malawi,2015/10,Strong winds and bush fire,4,,,,,36,36,,,
Malawi,2015/11,Stormy Rains,16,,,,,2243,2243,,,
Malawi,2015/11,Strong winds,15,,,,,1572,1572,,,
Malawi,2015/12,Floods,2,,,,,107,107,,,
Malawi,2015/12,HAILSTORM,16,5,3,,,1976,1976,,,
Malawi,2015/12,Heavy rains and storms,3,,2,,,42,42,,,
Malawi,2015/12,Stormy Rains,95,19,36,,,7906,7906,,,
Malawi,2015/12,Strong winds,7,,,,,687,687,,,
Malawi,2016/01,Flash Floods,1,,,,,209,209,,,
Malawi,2016/01,Floods,4,,,,,506,506,,,
Malawi,2016/01,Stormy Rains,47,,1,,,9048,9048,,,
Malawi,2016/01,Strong winds,2,,,,,69,69,,,
Malawi,2016/02,Flash Floods,10,1,,,,2174,2174,,,
Malawi,2016/02,HAILSTORM,6,,,,,946,946,,,
Malawi,2016/02,Stormy Rains,13,,,,,3513,3513,,,
Malawi,2016/02,Strong winds,1,,,,,175,175,,,
Malawi,2016/03,Flash Floods,6,,,,,278,278,,,
Malawi,2016/03,Stormy Rains,13,,,,,2384,2384,,,
Malawi,2016/04,Floods,10,,,,,3904,3904,,,
Malawi,2016/04,Stormy Rains & Floods,3,,,,,4497,4497,,,
Malawi,2016/05,Floods,1,,,,,,,,,
Malawi,2016/11,Stormy Rains,12,,10,,,695,695,,,
Malawi,2016/11,Strong winds,7,,,,,552,552,,,
